movieId,tmdbId,title_x,genres,director,top_cast
294,63020,"Perez Family, The (1995)",Comedy Romance,,
296,680,Pulp Fiction (1994),Comedy Crime Drama Thriller,,
303,12106,"Quick and the Dead, The (1995)",Action Thriller Western,,
315,2636,"Specialist, The (1994)",Action Drama Thriller,,
317,11395,"Santa Clause, The (1994)",Comedy Drama Fantasy,,
318,278,"Shawshank Redemption, The (1994)",Crime Drama,,
327,9067,Tank Girl (1995),Action Comedy Sci-Fi,,
328,9059,Tales from the Crypt Presents: Demon Knight (1995),Horror Thriller,,
329,193,Star Trek: Generations (1994),Adventure Drama Sci-Fi,,
330,25066,Tales from the Hood (1995),Action Crime Horror,,
337,1587,What's Eating Gilbert Grape (1993),Drama,,
338,9271,Virtuosity (1995),Action Sci-Fi Thriller,,
344,3049,Ace Ventura: Pet Detective (1994),Comedy,,
348,11382,Bullets Over Broadway (1994),Comedy,,
349,9331,Clear and Present Danger (1994),Action Crime Drama Thriller,,
350,10731,"Client, The (1994)",Drama Mystery Thriller,,
352,34152,Crooklyn (1994),Comedy Drama,,
353,9495,"Crow, The (1994)",Action Crime Fantasy Thriller,,
355,888,"Flintstones, The (1994)",Children Comedy Fantasy,,
356,13,Forrest Gump (1994),Comedy Drama Romance War,,
357,712,Four Weddings and a Funeral (1994),Comedy Romance,,
364,8587,"Lion King, The (1994)",Adventure Animation Children Drama Musical IMAX,,
366,11596,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama Horror Mystery Thriller,,
367,854,"Mask, The (1994)",Action Comedy Crime Fantasy,,
370,36593,Naked Gun 33 1/3: The Final Insult (1994),Action Comedy,,
374,11011,Richie Rich (1994),Children Comedy,,
376,8987,"River Wild, The (1994)",Action Thriller,,
377,1637,Speed (1994),Action Romance Thriller,,
379,8831,Timecop (1994),Action Sci-Fi Thriller,,
380,36955,True Lies (1994),Action Adventure Comedy Romance Thriller,,
382,10395,Wolf (1994),Drama Horror Romance Thriller,,
383,12160,Wyatt Earp (1994),Western,,
387,26352,"Low Down Dirty Shame, A (1994)",Action Comedy,,
393,11667,Street Fighter (1994),Action Adventure Fantasy,,
405,8011,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action Fantasy,,
412,10436,"Age of Innocence, The (1993)",Drama,,
420,306,Beverly Hills Cop III (1994),Action Comedy Crime Thriller,,
434,9350,Cliffhanger (1993),Action Adventure Thriller,,
441,9571,Dazed and Confused (1993),Comedy,,
454,37233,"Firm, The (1993)",Drama Thriller,,
457,5503,"Fugitive, The (1993)",Thriller,,
471,11934,"Hudsucker Proxy, The (1994)",Comedy,,
476,59930,"Inkwell, The (1994)",Comedy Drama,,
477,15765,What's Love Got to Do with It? (1993),Drama Musical,,
480,329,Jurassic Park (1993),Action Adventure Sci-Fi Thriller,,
482,507,Killing Zoe (1994),Crime Drama Thriller,,
485,9593,Last Action Hero (1993),Action Adventure Comedy Fantasy,,
493,9516,Menace II Society (1993),Action Crime Drama,,
494,2320,Executive Decision (1996),Action Adventure Thriller,,
497,11971,Much Ado About Nothing (1993),Comedy Romance,,
500,788,Mrs. Doubtfire (1993),Comedy Drama,,
508,9800,Philadelphia (1993),Drama,,
509,713,"Piano, The (1993)",Drama Romance,,
510,8291,Poetic Justice (1993),Drama,,
515,1245,"Remains of the Day, The (1993)",Drama Romance,,
516,11858,Renaissance Man (1994),Comedy Drama,,
519,5550,RoboCop 3 (1993),Action Crime Drama Sci-Fi Thriller,,
521,2088,Romeo Is Bleeding (1993),Crime Thriller,,
523,47889,Ruby in Paradise (1993),Drama,,
527,424,Schindler's List (1993),Drama War,,
532,11592,Serial Mom (1994),Comedy Crime Horror,,
533,8850,"Shadow, The (1994)",Action Adventure Fantasy Mystery,,
534,10445,Shadowlands (1993),Drama Romance,,
541,78,Blade Runner (1982),Action Sci-Fi Thriller,,
546,9607,Super Mario Bros. (1993),Action Adventure Children Comedy Fantasy Sci-Fi,,
553,11969,Tombstone (1993),Action Drama Western,,
555,319,True Romance (1993),Crime Thriller,,
562,11446,Welcome to the Dollhouse (1995),Comedy Drama,,
586,771,Home Alone (1990),Children Comedy,,
587,251,Ghost (1990),Comedy Drama Fantasy Romance Thriller,,
588,812,Aladdin (1992),Adventure Animation Children Comedy Musical,,
589,280,Terminator 2: Judgment Day (1991),Action Sci-Fi,,
590,581,Dances with Wolves (1990),Adventure Drama Western,,
592,268,Batman (1989),Action Crime Thriller,,
593,274,"Silence of the Lambs, The (1991)",Crime Horror Thriller,,
594,408,Snow White and the Seven Dwarfs (1937),Animation Children Drama Fantasy Musical,,
596,10895,Pinocchio (1940),Animation Children Fantasy Musical,,
597,114,Pretty Woman (1990),Comedy Romance,,
599,576,"Wild Bunch, The (1969)",Adventure Western,,
610,11827,Heavy Metal (1981),Action Adventure Animation Horror Sci-Fi,,
612,23570,"Pallbearer, The (1996)",Comedy,,
626,28121,"Thin Line Between Love and Hate, A (1996)",Comedy,,
637,9099,Sgt. Bilko (1996),Comedy,,
639,61752,Girl 6 (1996),Comedy Drama,,
647,10684,Courage Under Fire (1996),Action Crime Drama War,,
648,954,Mission: Impossible (1996),Action Adventure Mystery Thriller,,
653,8840,Dragonheart (1996),Action Adventure Fantasy,,
673,2300,Space Jam (1996),Adventure Animation Children Comedy Fantasy Sci-Fi,,
674,8069,Barbarella (1968),Adventure Comedy Sci-Fi,,
691,40001,Mrs. Winterbourne (1996),Comedy Romance,,
711,36355,Flipper (1996),Adventure Children,,
715,11876,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama Romance,,
718,11687,"Visitors, The (Visiteurs, Les) (1993)",Comedy Fantasy Sci-Fi,,
719,9304,Multiplicity (1996),Comedy,,
724,9100,"Craft, The (1996)",Drama Fantasy Horror Thriller,,
733,9802,"Rock, The (1996)",Action Adventure Thriller,,
736,664,Twister (1996),Action Adventure Romance Thriller,,
742,10280,Thinner (1996),Horror Thriller,,
743,10535,Spy Hard (1996),Comedy,,
750,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy War,,
761,9826,"Phantom, The (1996)",Action Adventure,,
762,9879,Striptease (1996),Comedy Crime,,
778,627,Trainspotting (1996),Comedy Crime Drama,,
780,602,Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi Thriller,,
782,9566,"Fan, The (1996)",Drama Thriller,,
783,10545,"Hunchback of Notre Dame, The (1996)",Animation Children Drama Musical Romance,,
784,9894,"Cable Guy, The (1996)",Comedy Thriller,,
785,11543,Kingpin (1996),Comedy,,
786,9268,Eraser (1996),Action Drama Thriller,,
788,9327,"Nutty Professor, The (1996)",Comedy Fantasy Romance Sci-Fi,,
798,11228,Daylight (1996),Action Adventure Drama Thriller,,
800,26748,Lone Star (1996),Drama Mystery Western,,
801,38223,Harriet the Spy (1996),Children Comedy,,
802,9294,Phenomenon (1996),Drama Romance,,
803,49963,Walking and Talking (1996),Comedy Drama Romance,,
804,11363,She's the One (1996),Comedy Romance,,
805,1645,"Time to Kill, A (1996)",Drama Thriller,,
809,18550,Fled (1996),Action Adventure,,
828,18975,"Adventures of Pinocchio, The (1996)",Adventure Children,,
830,2925,"First Wives Club, The (1996)",Comedy,,
832,3595,Ransom (1996),Crime Thriller,,
836,12123,Chain Reaction (1996),Action Adventure Thriller,,
849,10061,Escape from L.A. (1996),Action Adventure Sci-Fi Thriller,,
851,549,Basquiat (1996),Drama,,
852,10478,Tin Cup (1996),Comedy Drama Romance,,
858,238,"Godfather, The (1972)",Crime Drama,,
866,9303,Bound (1996),Crime Drama Romance Thriller,,
869,22479,Kansas City (1996),Crime Drama Musical Thriller,,
879,11015,"Relic, The (1997)",Horror Thriller,,
880,9306,"Island of Dr. Moreau, The (1996)",Sci-Fi Thriller,,
885,3587,Bogus (1996),Children Drama Fantasy,,
891,10987,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror Thriller,,
899,872,Singin' in the Rain (1952),Comedy Musical Romance,,
905,3078,It Happened One Night (1934),Comedy Romance,,
909,284,"Apartment, The (1960)",Comedy Drama Romance,,
910,239,Some Like It Hot (1959),Comedy Crime,,
912,289,Casablanca (1942),Drama Romance,,
914,11113,My Fair Lady (1964),Comedy Drama Musical Romance,,
919,630,"Wizard of Oz, The (1939)",Adventure Children Fantasy Musical,,
920,770,Gone with the Wind (1939),Drama Romance War,,
924,62,2001: A Space Odyssey (1968),Adventure Drama Sci-Fi,,
928,223,Rebecca (1940),Drama Mystery Romance Thriller,,
931,4174,Spellbound (1945),Mystery Romance Thriller,,
945,3080,Top Hat (1935),Comedy Musical Romance,,
953,1585,It's a Wonderful Life (1946),Children Drama Fantasy Romance,,
954,3083,Mr. Smith Goes to Washington (1939),Drama,,
968,10331,Night of the Living Dead (1968),Horror Sci-Fi Thriller,,
971,261,Cat on a Hot Tin Roof (1958),Drama,,
976,22649,"Farewell to Arms, A (1932)",Romance War,,
990,10861,Maximum Risk (1996),Action Adventure Thriller,,
991,1770,Michael Collins (1996),Drama,,
998,9400,Set It Off (1996),Action Crime,,
1003,11306,Extreme Measures (1996),Drama Thriller,,
1004,9625,"Glimmer Man, The (1996)",Action Thriller,,
1019,173,"20,000 Leagues Under the Sea (1954)",Adventure Drama Sci-Fi,,
1020,864,Cool Runnings (1993),Comedy,,
1027,8367,Robin Hood: Prince of Thieves (1991),Adventure Drama,,
1028,433,Mary Poppins (1964),Children Comedy Fantasy Musical,,
1034,11229,Freeway (1996),Comedy Crime Drama Thriller,,
1035,15121,"Sound of Music, The (1965)",Musical Romance,,
1036,562,Die Hard (1988),Action Crime Thriller,,
1037,10163,"Lawnmower Man, The (1992)",Action Horror Sci-Fi Thriller,,
1042,9591,That Thing You Do! (1996),Comedy Drama,,
1047,11412,"Long Kiss Goodnight, The (1996)",Action Drama Thriller,,
1049,10586,"Ghost and the Darkness, The (1996)",Action Adventure,,
1051,27845,Trees Lounge (1996),Drama,,
1054,49471,Get on the Bus (1996),Drama,,
1055,38153,Shadow Conspiracy (1997),Thriller,,
1057,9716,Everyone Says I Love You (1996),Comedy Musical Romance,,
1059,454,William Shakespeare's Romeo + Juliet (1996),Drama Romance,,
1060,10218,Swingers (1996),Comedy Drama,,
1061,819,Sleepers (1996),Thriller,,
1073,252,Willy Wonka & the Chocolate Factory (1971),Children Comedy Fantasy Musical,,
1077,11561,Sleeper (1973),Comedy Sci-Fi,,
1078,11302,Bananas (1971),Comedy War,,
1089,500,Reservoir Dogs (1992),Crime Mystery Thriller,,
1090,792,Platoon (1986),Drama War,,
1093,10537,"Doors, The (1991)",Drama,,
1094,11386,"Crying Game, The (1992)",Drama Romance Thriller,,
1095,9504,Glengarry Glen Ross (1992),Drama,,
1097,601,E.T. the Extra-Terrestrial (1982),Children Drama Sci-Fi,,
1100,2119,Days of Thunder (1990),Action Drama Romance,,
1101,744,Top Gun (1986),Action Romance,,
1104,702,"Streetcar Named Desire, A (1951)",Drama,,
1114,21612,"Funeral, The (1996)",Crime Drama,,
1125,11843,"Return of the Pink Panther, The (1975)",Comedy Crime,,
1127,2756,"Abyss, The (1989)",Action Adventure Sci-Fi Thriller,,
1128,790,"Fog, The (1980)",Horror,,
1129,1103,Escape from New York (1981),Action Adventure Sci-Fi Thriller,,
1130,11298,"Howling, The (1980)",Horror Mystery,,
1135,10765,Private Benjamin (1980),Comedy,,
1136,762,Monty Python and the Holy Grail (1975),Adventure Comedy Fantasy,,
1183,409,"English Patient, The (1996)",Drama Romance War,,
1186,1412,"Sex, Lies, and Videotape (1989)",Drama,,
1193,510,One Flew Over the Cuckoo's Nest (1975),Drama,,
1196,1891,Star Wars: Episode V - The Empire Strikes Back (1980),Action Adventure Sci-Fi,,
1197,2493,"Princess Bride, The (1987)",Action Adventure Comedy Fantasy Romance,,
1198,85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action Adventure,,
1199,68,Brazil (1985),Fantasy Sci-Fi,,
1200,679,Aliens (1986),Action Adventure Horror Sci-Fi,,
1201,429,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action Adventure Western,,
1203,389,12 Angry Men (1957),Drama,,
1204,947,Lawrence of Arabia (1962),Adventure Drama War,,
1207,595,To Kill a Mockingbird (1962),Drama,,
1208,28,Apocalypse Now (1979),Action Drama War,,
1209,335,Once Upon a Time in the West (C'era una volta il West) (1968),Action Drama Western,,
1210,1892,Star Wars: Episode VI - Return of the Jedi (1983),Action Adventure Sci-Fi,,
1213,769,Goodfellas (1990),Crime Drama,,
1214,348,Alien (1979),Horror Sci-Fi,,
1215,766,Army of Darkness (1993),Action Adventure Comedy Fantasy Horror,,
1219,539,Psycho (1960),Crime Horror,,
1220,525,"Blues Brothers, The (1980)",Action Comedy Musical,,
1221,240,"Godfather: Part II, The (1974)",Crime Drama,,
1224,10705,Henry V (1989),Action Drama Romance War,,
1225,279,Amadeus (1984),Drama,,
1227,311,Once Upon a Time in America (1984),Crime Drama,,
1228,1578,Raging Bull (1980),Drama,,
1230,703,Annie Hall (1977),Comedy Romance,,
1231,9549,"Right Stuff, The (1983)",Drama,,
1233,387,"Boot, Das (Boat, The) (1981)",Action Drama War,,
1234,9277,"Sting, The (1973)",Comedy Crime,,
1240,218,"Terminator, The (1984)",Action Sci-Fi Thriller,,
1242,9665,Glory (1989),Drama War,,
1246,207,Dead Poets Society (1989),Drama,,
1250,826,"Bridge on the River Kwai, The (1957)",Adventure Drama War,,
1258,694,"Shining, The (1980)",Horror,,
1259,235,Stand by Me (1986),Adventure Drama,,
1261,765,Evil Dead II (Dead by Dawn) (1987),Action Comedy Fantasy Horror,,
1262,5925,"Great Escape, The (1963)",Action Adventure Drama War,,
1263,11778,"Deer Hunter, The (1978)",Drama War,,
1265,137,Groundhog Day (1993),Comedy Fantasy Romance,,
1266,33,Unforgiven (1992),Drama Western,,
1270,105,Back to the Future (1985),Adventure Comedy Sci-Fi,,
1272,11202,Patton (1970),Drama War,,
1274,149,Akira (1988),Action Adventure Animation Sci-Fi,,
1275,8009,Highlander (1986),Action Adventure Fantasy,,
1278,3034,Young Frankenstein (1974),Comedy Fantasy,,
1282,756,Fantasia (1940),Animation Children Fantasy Musical,,
1283,288,High Noon (1952),Drama Western,,
1286,16633,Somewhere in Time (1980),Drama Romance,,
1291,89,Indiana Jones and the Last Crusade (1989),Action Adventure,,
1293,783,Gandhi (1982),Drama,,
1296,11257,"Room with a View, A (1986)",Drama Romance,,
1304,642,Butch Cassidy and the Sundance Kid (1969),Action Western,,
1307,639,When Harry Met Sally... (1989),Comedy Romance,,
1320,8077,Alien³ (a.k.a. Alien 3) (1992),Action Horror Sci-Fi Thriller,,
1330,24913,April Fool's Day (1986),Horror,,
1339,6114,Dracula (Bram Stoker's Dracula) (1992),Fantasy Horror Romance Thriller,,
1343,1598,Cape Fear (1991),Thriller,,
1346,6217,Cat People (1982),Drama Fantasy Horror,,
1347,377,"Nightmare on Elm Street, A (1984)",Horror Thriller,,
1350,794,"Omen, The (1976)",Horror Mystery Thriller,,
1351,31640,Blood and Wine (Blood & Wine) (1996),Crime Drama Thriller,,
1352,8744,Albino Alligator (1996),Crime Thriller,,
1353,25189,"Mirror Has Two Faces, The (1996)",Comedy Drama Romance,,
1356,199,Star Trek: First Contact (1996),Action Adventure Sci-Fi Thriller,,
1357,7863,Shine (1996),Drama Romance,,
1358,12498,Sling Blade (1996),Drama,,
1359,9279,Jingle All the Way (1996),Children Comedy,,
1370,1573,Die Hard 2 (1990),Action Adventure Thriller,,
1371,152,Star Trek: The Motion Picture (1979),Adventure Sci-Fi,,
1372,174,Star Trek VI: The Undiscovered Country (1991),Action Mystery Sci-Fi,,
1373,172,Star Trek V: The Final Frontier (1989),Action Sci-Fi,,
1374,154,Star Trek II: The Wrath of Khan (1982),Action Adventure Sci-Fi Thriller,,
1375,157,Star Trek III: The Search for Spock (1984),Action Adventure Sci-Fi,,
1376,168,Star Trek IV: The Voyage Home (1986),Adventure Comedy Sci-Fi,,
1377,364,Batman Returns (1992),Action Crime,,
1378,11967,Young Guns (1988),Action Comedy Western,,
1380,621,Grease (1978),Comedy Musical Romance,,
1387,578,Jaws (1975),Action Horror,,
1388,579,Jaws 2 (1978),Horror Thriller,,
1390,17795,My Fellow Americans (1996),Comedy,,
1391,75,Mars Attacks! (1996),Action Comedy Sci-Fi,,
1393,9390,Jerry Maguire (1996),Drama Romance,,
1399,9819,Marvin's Room (1996),Drama,,
1401,31908,Ghosts of Mississippi (1996),Drama,,
1405,3179,Beavis and Butt-Head Do America (1996),Adventure Animation Comedy Crime,,
1407,4232,Scream (1996),Comedy Horror Mystery Thriller,,
1408,9361,"Last of the Mohicans, The (1992)",Action Romance War Western,,
1411,10549,Hamlet (1996),Crime Drama Romance,,
1416,8818,Evita (1996),Drama Musical,,
1427,34314,Turbulence (1997),Action Thriller,,
1438,9619,Dante's Peak (1997),Action Thriller,,
1442,26306,Prefontaine (1997),Drama,,
1449,16448,Waiting for Guffman (1996),Comedy,,
1459,66,Absolute Power (1997),Mystery Thriller,,
1466,9366,Donnie Brasco (1997),Crime Drama,,
1475,28005,Kama Sutra: A Tale of Love (1996),Romance,,
1477,27322,Love Jones (1997),Romance,,
1479,10003,"Saint, The (1997)",Action Romance Sci-Fi Thriller,,
1480,9311,Smilla's Sense of Snow (1997),Drama Thriller,,
1485,1624,Liar Liar (1997),Comedy,,
1487,16052,Selena (1997),Drama Musical,,
1488,4477,"Devil's Own, The (1997)",Action Drama Thriller,,
1489,24662,Cats Don't Dance (1997),Animation Children Musical,,
1493,76996,Love and Other Catastrophes (1996),Romance,,
1499,9360,Anaconda (1997),Action Adventure Thriller,,
1500,9434,Grosse Pointe Blank (1997),Comedy Crime Romance,,
1503,13982,8 Heads in a Duffel Bag (1997),Comedy,,
1515,10357,Volcano (1997),Action Drama Thriller,,
1517,816,Austin Powers: International Man of Mystery (1997),Action Adventure Comedy,,
1518,2163,Breakdown (1997),Action Thriller,,
1527,18,"Fifth Element, The (1997)",Action Adventure Comedy Sci-Fi,,
1544,330,"Lost World: Jurassic Park, The (1997)",Action Adventure Sci-Fi Thriller,,
1552,1701,Con Air (1997),Action Adventure Thriller,,
1556,1639,Speed 2: Cruise Control (1997),Action Romance Thriller,,
1562,415,Batman & Robin (1997),Action Adventure Fantasy Thriller,,
1569,8874,My Best Friend's Wedding (1997),Comedy Romance,,
1571,11956,When the Cat's Away (Chacun cherche son chat) (1996),Comedy Romance,,
1573,754,Face/Off (1997),Action Crime Drama Thriller,,
1580,607,Men in Black (a.k.a. MIB) (1997),Action Comedy Sci-Fi,,
1583,17834,"Simple Wish, A (1997)",Children Fantasy,,
1584,686,Contact (1997),Drama Sci-Fi,,
1586,4421,G.I. Jane (1997),Action Drama,,
1587,9387,Conan the Barbarian (1982),Action Adventure Fantasy,,
1588,10603,George of the Jungle (1997),Children Comedy,,
1589,2142,Cop Land (1997),Action Crime Drama Thriller,,
1590,8413,Event Horizon (1997),Horror Sci-Fi Thriller,,
1591,10336,Spawn (1997),Action Adventure Sci-Fi Thriller,,
1592,20737,Air Bud (1997),Children Comedy,,
1594,14585,In the Company of Men (1997),Comedy Drama,,
1597,8834,Conspiracy Theory (1997),Drama Mystery Romance Thriller,,
1599,8854,Steel (1997),Action,,
1604,9416,Money Talks (1997),Action Comedy,,
1608,9772,Air Force One (1997),Action Thriller,,
1610,1669,"Hunt for Red October, The (1990)",Action Adventure Thriller,,
1611,468,My Own Private Idaho (1991),Drama Romance,,
1614,10806,In & Out (1997),Comedy,,
1615,9433,"Edge, The (1997)",Adventure Drama,,
1616,6623,"Peacemaker, The (1997)",Action Thriller War,,
1617,2118,L.A. Confidential (1997),Crime Film-Noir Mystery Thriller,,
1619,978,Seven Years in Tibet (1997),Adventure Drama War,,
1620,9437,Kiss the Girls (1997),Crime Drama Mystery Thriller,,
1621,29461,Soul Food (1997),Drama,,
1625,2649,"Game, The (1997)",Drama Mystery Thriller,,
1633,55306,Ulee's Gold (1997),Drama,,
1635,68924,"Ice Storm, The (1997)",Drama,,
1639,2255,Chasing Amy (1997),Comedy Drama Romance,,
1641,9427,"Full Monty, The (1997)",Comedy Drama,,
1644,3597,I Know What You Did Last Summer (1997),Horror Mystery Thriller,,
1645,1813,The Devil's Advocate (1997),Drama Mystery Thriller,,
1653,782,Gattaca (1997),Drama Sci-Fi Thriller,,
1659,125052,Hurricane Streets (1997),Drama,,
1660,45153,Eve's Bayou (1997),Drama,,
1661,10871,Switchback (1997),Crime Mystery Thriller,,
1663,10890,Stripes (1981),Comedy War,,
1667,9770,Mad City (1997),Action Drama,,
1672,11975,"Rainmaker, The (1997)",Drama,,
1673,4995,Boogie Nights (1997),Drama,,
1674,9281,Witness (1985),Drama Romance Thriller,,
1676,563,Starship Troopers (1997),Action Sci-Fi,,
1677,61337,Critical Care (1997),Comedy Drama,,
1679,31535,Chairman of the Board (1998),Comedy,,
1680,10215,Sliding Doors (1998),Drama Romance,,
1681,9823,Mortal Kombat: Annihilation (1997),Action Adventure Fantasy,,
1682,37165,"Truman Show, The (1998)",Comedy Drama Sci-Fi,,
1687,4824,"Jackal, The (1997)",Action Thriller,,
1688,9444,Anastasia (1997),Adventure Animation Children Drama Musical,,
1689,9414,"Man Who Knew Too Little, The (1997)",Comedy Crime Thriller,,
1690,8078,Alien: Resurrection (1997),Action Horror Sci-Fi,,
1693,11831,Amistad (1997),Drama Mystery,,
1694,2895,"Apostle, The (1997)",Drama,,
1701,2639,Deconstructing Harry (1997),Comedy Drama,,
1702,9574,Flubber (1997),Children Comedy Fantasy,,
1704,489,Good Will Hunting (1997),Drama Romance,,
1711,8197,Midnight in the Garden of Good and Evil (1997),Crime Drama Mystery,,
1717,4233,Scream 2 (1997),Comedy Horror Mystery Thriller,,
1719,10217,"Sweet Hereafter, The (1997)",Drama,,
1721,597,Titanic (1997),Drama Romance,,
1722,714,Tomorrow Never Dies (1997),Action Adventure Thriller,,
1726,9922,"Postman, The (1997)",Action Adventure Drama Sci-Fi,,
1727,547,"Horse Whisperer, The (1998)",Drama Romance,,
1729,184,Jackie Brown (1997),Crime Drama Thriller,,
1730,9746,Kundun (1997),Drama,,
1732,115,"Big Lebowski, The (1998)",Comedy Crime,,
1747,586,Wag the Dog (1997),Comedy,,
1748,2666,Dark City (1998),Adventure Film-Noir Sci-Fi Thriller,,
1752,11258,Hard Rain (1998),Action Crime Thriller,,
1753,9490,Half Baked (1998),Comedy,,
1755,25719,Shooting Fish (1997),Comedy Romance,,
1760,6116,Spice World (1997),Comedy,,
1762,9457,Deep Rising (1998),Action Horror Sci-Fi,,
1769,11702,"Replacement Killers, The (1998)",Action Crime Thriller,,
1779,10153,Sphere (1998),Sci-Fi Thriller,,
1784,2898,As Good as It Gets (1997),Comedy Drama Romance,,
1794,47452,Love and Death on Long Island (1997),Comedy Drama,,
1801,9313,"Man in the Iron Mask, The (1998)",Action Adventure Drama,,
1804,42807,"Newton Boys, The (1998)",Crime Drama,,
1805,617,Wild Things (1998),Crime Drama Mystery Thriller,,
